사업소명,사업소전화번호,소재지도로명주소,소재지지번주소,위도,경도,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,기타임대농기계보유정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
동부농기계임대사업소,055-749-7906,경상남도 진주시 진성면 동부로 1605,경상남도 진주시 진성면 천곡리 1151-6,35.18899859,128.249956,53,10,15,7,6,0,0,0,,055-749-6141,경상남도 진주시청,2024-11-14,5310000,경상남도 진주시
기장군농업기술센터,051-709-5315,부산광역시 기장군 기장읍 반송로 1370-22,부산광역시 기장군 기장읍 만화리 333-28,35.25259076,129.195309,58,8,29,3,2,2,2,0,사다리(5)+파쇄기(5)+건조기(33)+결속기(1)+파이프밴딩성형기(1)+양봉채밀기(1)+양수기(1)+굴삭기(10)+동력살분무기(1)+스키드로더(2)+탈망기(1),051-709-5307,기장군농업기술센터,2024-11-28,3400000,부산광역시 기장군
스마트농업지원관,032-440-6936,인천광역시 계양구 살라리로 2번길 33,인천광역시 계양구 서운동 207-1,,,18,11,8,0,4,1,0,0,농용굴삭기(2)+농용로우더(1)+동력분무기(2)+동력살분무기(1)+동력예취기(3)+동력파종기(1)+콩예취기(1)+탈망기(2)+자동전동가위(2)+농용파이프밴딩성형기(1)+동력이식기(1)+목재파쇄기(3)+농업용드론(1),032-440-6932,인천광역시농업기술센터,2024-11-19,6280000,인천광역시
인천광역시농업기계교육관,032-746-7920,인천광역시 중구 공항서로 587,인천광역시 중구 을왕동 488-5,,,16,10,7,0,3,0,0,0,농산물선별기(1)+농용굴삭기(2)+동력예취기(1)+동력배토기(1)+탈망기(2)+목재파쇄기(2),032-746-7920,인천광역시 중구농업인상담소,2024-11-19,6280000,인천광역시
동해시농업기술센터 망상지소,033-530-2438,강원특별자치도 동해시 초구길 2-1,강원특별자치도 동해시 초구동 110,37.57653187,129.087711,6,6,53,4,8,0,5,0,굴착기(1)+건조기(3)+동력운반차(1)+스키드로더(1)+파이프밴딩(1)+농용호스릴(1)+동력살분무기(1)+정전노즐(2)+자주식베일러(2)+비료살포기(2)+동력이식기(3)+동력제초기(3)+동력파쇄기(14)+방제기(1)+전동가위(2)+수동파종기(1)+동력예취기(1)+자주식퇴비살포기(1)+퇴비살포기(경운기)(1)+파종기(육묘용)(1)+이륜관리기(22)+일륜관리기(5)+정선작업기(3),033-530-2438,동해시농업기술센터,2024-11-15,4211000,강원특별자치도 동해시
동해시농업기술센터 북평지소,033-530-2439,강원특별자치도 동해시 이원길 77-5,강원특별자치도 동해시 이도동 657-4,37.48098442,129.1006996,5,8,23,4,12,1,4,0,굴착기(2)+전조기(2)+동력운반차(3)+스키드로더(2)+파이프밴딩(1)+농용호스릴(1)+동력살분무기(1)+정전노즐(2)+비료살포기(3)+동력이식기(2)+동력제초기(2)+동력파쇄기(8)+방제기(1)+전동가위(5)+수동파종기(1)+동력예취기(1)+자주식퇴비살포기(1)+퇴비살포기(경운기)(1)+곡물선별기(1)+승용관리기(1)+이륜관리기(20)+일륜관리기(12)+정선작업기(2),033-530-2438,동해시농업기술센터,2024-11-15,4211000,강원특별자치도 동해시
김천시농기계임대사업소중부지점,054-437-9711,경상북도 김천시 조마면 용호로 110-10,경상북도 김천시 조마면 강곡리 12-1,36.03962741,128.1152584,45,8,4,8,11,0,5,0,농업용굴착기3+농용운반차3+목재파쇄기15+퇴비살포기4+파이프밴딩기3+양파모종정리기2,054-421-2551,경상북도 김천시청,2024-07-09,5060000,경상북도 김천시
함양군농기계임대사업소(북부권),055-960-5297,경상남도 함양군 안의면 거함대로 1712,경상남도 함양군 안의면 교북리 37,35.63418597,127.8152199,27,11,15,8,5,1,0,0,,055-960-8350,경상남도 함양군청,2024-07-09,5460000,경상남도 함양군
함양군농기계임대사업소(중부권),055-960-5299,경상남도 함양군 함양읍 고운로 539,경상남도 함양군 함양읍 백천리 405-1,35.52563065,127.779145,38,15,22,10,10,1,0,1,,055-960-8350,경상남도 함양군청,2024-07-09,5460000,경상남도 함양군
함양군농기계임대사업소(서부권),055-960-5296,경상남도 함양군 백전면 백현길 28-2,경상남도 함양군 백전면 경백리 507,35.53376985,127.6556564,15,9,8,2,2,0,0,0,,055-960-8350,경상남도 함양군청,2024-07-09,5460000,경상남도 함양군
함양군농기계임대사업소(남부권),055-960-5570,경상남도 함양군 휴천면 천왕봉로 2426,경상남도 함양군 휴천면 남호리 372,35.43840979,127.7653347,15,8,7,8,3,1,0,0,,055-960-8350,경상남도 함양군청,2024-07-09,5460000,경상남도 함양군
태안군농업기술센터(본소),041-673-8282,충청남도 태안군 태안읍 송암로 523,충청남도 태안군 태안읍 송암리 770-2,36.73320335,126.3055443,93,45,37,83,56,0,0,0,0,041-673-8282,태안군농업기술센터,2024-07-01,4620000,충청남도 태안군
의성군농업기술센터(금성지소),054-830-6483,경상북도 의성군 금성면 탑운길 115,경상북도 의성군 금성면 탑리리 990,36.262311,128.6871162,47,16,5,12,28,0,0,0,굴삭기(12)+농산물제피기(1)+마늘쪽분리기(5)+농산물선별기(6)+동력파쇄기(17)+사료작물수확기(1)+동력제초기(14)+콩범용수확기(1)+콩예취기(5)+탈망기(8)+퇴비살포기(3)+파이프벤딩성형기(2),054-830-6483,경상북도 의성군청,2024-09-13,5150000,경상북도 의성군
의성군농업기술센터(안계지소),054-830-6486,경상북도 의성군 안계면 서부로 1800,경상북도 의성군 안계면 시안리 367-2,36.39297311,128.4318318,75,8,6,10,19,1,0,0,굴삭기(7)+농산물제피기(1)+마늘쪽분리기(3)+농산물선별기(2)+동력파쇄기(9)+동력제초기(9)+콩범용수확기(1)+콩예취기(4)+탈망기(3)+퇴비살포기(3)+파이프벤딩성형기(2),054-830-6486,경상북도 의성군청,2024-09-13,5150000,경상북도 의성군
의성군농업기술센터(점곡지소),054-830-6482,경상북도 의성군 점곡면 동변길 159,경상북도 의성군 점곡면 동변리 1075-1,36.425014,128.7815124,35,12,4,11,24,0,0,0,굴삭기(10)+농산물제피기(1)+마늘쪽분리기(5)+농산물선별기(5)+동력파쇄기(15)+동력제초기(11)+콩범용수확기(1)+콩예취기(5)+탈망기(8)+퇴비살포기(3)+파이프벤딩성형기(2),054-830-6482,경상북도 의성군청,2024-09-13,5150000,경상북도 의성군
의성군농업기술센터(다인지소),054-830-6754,경상북도 의성군 다인면 비안다인로 1786-5,경상북도 의성군 다인면 도암리 971-1,36.455507,128.354529,54,1,0,6,19,0,0,0,굴삭기(6)+마늘쪽분리기(1)+농산물선별기(1)+동력파쇄기(8)+동력제초기(8)+콩범용수확기(1)+퇴비살포기(3)+파이프벤딩성형기(3),054-830-6754,경상북도 의성군청,2024-09-13,5150000,경상북도 의성군
경주시 농업기술센터 본소,054-779-8737,경상북도 경주시 서악2길 14(서악동),경상북도 경주시 서악동 1153,35.82859141,129.1894005,133,12,75,13,28,0,0,1,143 → 과수인공교배기(14)+농기계용사다리(31)+농업용고소작업차(1)+농업용굴삭기(10)+농업용로우더(1)+농용계량기(1)+농용파이프밴딩성형기(2)+동력배토기(10)+동력살포기(4)+동력제초기(11)+동력파쇄기(11)+마늘쪽분리기(1)+볍씨발아기(11)+육묘상자운반기구(1)+친환경제재제조기(1)+콩예취기(5)+인력파종기(21)+사료배합기(1)+동력분무기(6),054-760-2248,경상북도 경주시청,2024-11-15,5050000,경상북도 경주시
경주시 농업기술센터 동부사업소,054-741-8737,경상북도 경주시 양북면 감은로 288-11,경상북도 경주시 양북면 어일리 430-17,35.77053088,129.4487423,53,5,24,3,14,0,0,1,67 → 농업용고압세척기(1)+농기계용사다리(22)+농업용굴삭기(4)+농업용로우더(1)+농용파이프밴딩성형기(2)+동력배토기(2)+동력제초기(3)+동력살포기(3)+동력파쇄기(3)+볍씨발아기(10)+동력분무기(1)+탈망기(4)+인력파종기(10)+농용양수기(1),054-760-2248,경상북도 경주시청,2024-11-15,5050000,경상북도 경주시
경주시 농업기술센터 북부사업소,054-763-6461,경상북도 경주시 안강읍 안현로 1294-42,경상북도 경주시 안강읍 갑산리 927,35.97214821,129.2355127,85,11,41,9,16,4,0,1,115 → 과수인공교배기(9)+농기계용사다리(28)+농업용고소작업차(1)+농업용고압세척기(1)+농업용굴삭기(5)+농업용로우더(1)+농용파이프밴딩성형기(3)+동력분무기(4)+동력배토기(6)+동력제초기(9)+동력살포기(4)+농용양수기(1)+동력파쇄기(9)+볍씨발아기(20)+육묘상자운반기구(1)+탈망기(3)+인력파종기(10),054-760-2248,경상북도 경주시청,2024-11-15,5050000,경상북도 경주시
경주시 농업기술센터 남부사업소,054-776-8735,경상북도 경주시 시동로 303,경상북도 경주시 시동 998-81,35.75778183,129.2759864,51,7,23,6,11,1,0,2,72 → 농기계용사다리(16)+농업용굴삭기(4)+농업용동력운반차(1)+농용파이프밴딩성형기(2)+동력배토기(4)+동력살포기(4)+동력제초기(6)+동력파쇄기(6)+볍씨발아기(10)+육묘상자운반기구(1)+탈망기(3)+인력파종기(10)+친환경제재제조기(1)+동력분무기(3)+농용양수기(1),054-760-2248,경상북도 경주시청,2024-11-15,5050000,경상북도 경주시
농기계임대사업소 석정분소,062-373-5805,광주광역시 남구 용곡동 회농길 229,광주광역시 남구 석정동 389-4,35.083142,126.809141,31,8,25,11,9,9,0,0,농용굴삭기(2)+동력분무기(2)+잔가지파쇄기(3)+육묘용파종기(4)+덩굴파쇄기(2)+동력제초기(2)+인력파종기(8)+자주식퇴비살포기(1)+승용제초기(3)+육묘상자적재기(3)+양수기(5)+휴대용자동전동가위(6)+논두렁제초기(1)+예초기(10),062-613-5302,광주광역시농업기술센터,2023-12-11,6290000,광주광역시
영동군농업기술센터(본소),043-740-5552,충청북도 영동군 영동읍 학산영동로 1065,충청북도 영동군 영동읍 부용리 610,36.16351045,127.7590166,101,11,84,18,21,16,8,8,"농용굴삭기(8)+동력분무기(4)+동력비료살포기(1)+동력운반차(6)+잔가지파쇄기(24)+목재파쇄기(1)+제초기(승용,보행)(29)+콩예취기(2)+퇴비살포기(보행,승용)(10)+파이프밴딩성형기(2)+SS기(5)+콩콤바인(2)+감박피기(10)+지주목설치기(3)+휴대용자동전동가위(12)+사료작물수확기(2)+지게차(2)+과실수확기(1)+풍구(2)+농용로더(1)+곡물탱크(1)+덩쿨예취기(4)+탈망기(1)+기타(2)",043-740-5555,충청북도 영동군,2023-12-04,4440000,충청북도 영동군
영동군농업기술센터(남부지소),043-740-5556,충청북도 영동군 매곡면 민주지산로 3894,충청북도 영동군 매곡면 노천리 379-1,36.21604153,127.9269346,46,2,29,4,15,4,3,0,"농용굴삭기(4)+동력분무기(2)+동력비료살포기(2)+동력운반차(3)+잔가지파쇄기(22)+제초기(승용,보행)(9)+콩예취기(2)+퇴비살포기(보행,승용)(6)+파이프밴딩성형기(2)+SS기(2)+지주목설치기(2)+휴대용자동전동가위(2)+지게차(1)+덩쿨예취기(3)+기타(1)",043-740-5555,충청북도 영동군,2023-12-04,4440000,충청북도 영동군
영동군농업기술센터(서부지소),043-740-5917,충청북도 영동군 학산면 서산로 88,충청북도 영동군 학산면 서산리 844-1,36.09933071,127.685566,47,3,24,4,12,7,2,0,"농용굴삭기(3)+동력비료살포기(2)+동력운반차(4)+잔가지파쇄기(14)+제초기(승용,보행)(9)+콩예취기(2)+퇴비살포기(보행,승용)(5)+파이프밴딩성형기(2)+SS기(3)+지주목설치기(2)+휴대용자동전동가위(3)+배합기(1)+지게차(1)+덩쿨예취기(3)",043-740-5555,충청북도 영동군,2023-12-04,4440000,충청북도 영동군
대청면 농기계임대사업소,032-899-3284,인천광역시 옹진군 대청면 대청로 186,인천광역시 옹진군 대청면 대청리 454-9,37.83564799,124.7074673,10,9,16,4,1,0,2,1,콤바인(1)+동력분무기(8)+동력운반차(2),032-899-3272,인천광역시 옹진군농업기술센터,2024-04-11,3580000,인천광역시 옹진군
덕적면 농기계임대사업소,032-899-3285,인천광역시 옹진군 덕적면 덕적남로 867번길 70,인천광역시 옹진군 덕적면 서포리 868,37.2390537,126.100508,20,15,37,7,9,0,1,0,굴착기(1)+동력분무기(11)+동력운반차(2)+자주식파쇄기(1)+잡곡도정기(1)+지대포장기(1),032-899-3272,인천광역시 옹진군농업기술센터,2024-04-11,3580000,인천광역시 옹진군
자월면 농기계임대사업소,032-899-3286,인천광역시 옹진군 자월면 자월서로 88,인천광역시 옹진군 자월면 자월리 1065-12,37.250558,126.313828,11,3,15,2,2,0,0,0,굴착기(1)+동력분무기(3)+동력운반차(3)+자주식파쇄기(1),032-899-3272,인천광역시 옹진군농업기술센터,2024-04-11,3580000,인천광역시 옹진군
자월면 농기계임대사업소 승봉분소,032-899-3286,인천광역시 옹진군 자월면 승봉로67번길 90,인천광역시 옹진군 자월면 승봉리 771-7,37.1721906,126.2976843050,9,3,11,2,1,0,0,0,굴착기(1)+동력분무기(3)+동력운반차(3),032-899-3272,인천광역시 옹진군농업기술센터,2024-04-11,3580000,인천광역시 옹진군
영흥면 농기계임대사업소,032-899-3288,인천광역시 옹진군 영흥면 영흥남로 435번길 29,인천광역시 옹진군 영흥면 외리 728-2,37.2531738,126.460277,19,11,48,5,5,0,0,0,굴착기(1)+동력분무기(8)+동력운반차(3)+과수방제기(3)+채소이식기 등(5)+고구마순치기(4)+자주식파쇄기(3),032-899-3272,인천광역시 옹진군농업기술센터,2024-04-11,3580000,인천광역시 옹진군
김천시농기계임대사업소서부지점,054-432-5166,경상북도 김천시 봉산면 봉산2로 30,경상북도 김천시 봉산면 신리 205,36.132835,128.056821,30,3,4,5,9,0,6,0,농업용굴착기3+농용운반차4+ 목재파쇄기15+퇴비살포기5+파이프밴딩기3,054-421-2551,경상북도 김천시청,2024-07-09,5060000,경상북도 김천시
김천시농기계임대사업소남부지점,054-435-1044,경상북도 김천시 지례면 지례로 40,경상북도 김천시 지례면 상부리 111,35.988717,128.034491,33,4,4,6,10,0,5,0,농업용굴착기2+농용운반차2+목재파쇄기5+퇴비살포기5+파이프밴딩기1,054-421-2551,경상북도 김천시청,2024-07-09,5060000,경상북도 김천시
김천시농기계임대사업소북부지점,054-433-5273,경상북도 김천시 감문면 감문로 1043,경상북도 김천시 감문면 보광리 393,36.213514,128.180068,42,3,4,8,10,0,8,0,농업용굴착기3+농용운반차2+목재파쇄기15+퇴비살포기5+파이프밴딩기3,054-421-2551,경상북도 김천시청,2024-07-09,5060000,경상북도 김천시
대소원임대사업소,043-850-3238,충청북도 충주시 대소원면 화곡1길 30-29,충청북도 충주시 대소원면 영평리 479-69,36.97762275,127.8062796,48,5,16,21,31,8,3,5,,043-850-3233,충청북도 충주시 농업기술센터,2024-05-31,4390000,충청북도 충주시
용관동임대사업소,043-850-3237,충청북도 충주시 창현로 1239,충청북도 충주시 용관동 305-1,36.9456828,127.8835892,10,2,6,11,13,3,2,1,,043-850-3233,충청북도 충주시 농업기술센터,2024-05-31,4390000,충청북도 충주시
앙성면임대사업소,043-850-3226,충청북도 충주시 앙성면 동막고개길 346,충청북도 충주시 앙성면 능암리 747-2,37.0862831,127.7995434,13,2,8,3,8,2,0,0,,043-850-3233,충청북도 충주시 농업기술센터,2024-05-31,4390000,충청북도 충주시
수안보임대사업소,043-850-3228,충청북도 충주시 수회리로 186,충청북도 충주시 수안보면 중산리 479,36.88160231,127.9836477,12,4,6,4,3,4,1,0,,043-850-3233,충청북도 충주시 농업기술센터,2024-05-31,4390000,충청북도 충주시
김천시농기계임대사업소본점,054-421-2563,경상북도 김천시 구성면 남김천대로 3296-22,경상북도 김천시 구성면 하강리 56,36.077713,128.099372,11,0,0,0,9,0,10,0,광역살포기2+탕콩탈피기5+목재파쇄기7+진동수확기5+휴립복토기5,054-421-2551,경상북도 김천시청,2024-07-09,5060000,경상북도 김천시
김천시농기계임대사업소동부지점,054-430-1429,경상북도 김천시 초곡길 25(율곡동),경상북도 김천시 율곡동 6-1691,36.130361,128.178097,32,3,4,8,14,0,4,0,농업용굴착기3+농용운반차2+목재파쇄기15+퇴비살포기4+풍구3+파이프밴딩기3+동력예취기4,054-421-2551,경상북도 김천시청,2024-07-09,5060000,경상북도 김천시
영월군 농업기술센터 농기계임대사업소(본소),033-370-7891,강원특별자치도 영월군 북면 영월로 1315,,,,249,20,42,37,82,2,17,10,194(발전기6+보통형콤바인6+농용굴삭기6+동력예취기3+동력제초기10+동력퇴비살포기14+콩예취기24+인력파종기28+볍씨발아기4+파이프밴딩기2+동력이식기10+고소작업차3+비료살포기5+잔가지파쇄기소형4+잔가지파쇄기대형10+넝쿨파쇄기19+동력사료절단기3+보행제초기4+차량탑재형퇴비살포기3+동력제초기4륜7+자주식베일러3+스키드로더6+목초모아2+농용드론2+하우스비닐피복기2+아로니아꼭지선별기1+관리기형옥수수수확기1+콩적심기4+볍씨파종기2),033-370-7891,강원특별자치도 영월군 농업기술센터,2024-08-22,4271000,강원특별자치도 영월군
영월군 농업기술센터 농기계임대사업소(서부분소),033-370-7911,강원특별자치도 영월군 주천면 금용강변로 26-15,,,,56,5,8,11,23,1,6,0,56(발전기2+농용굴삭기2+동력예취기1+동력제초기4+동력퇴비살포기6+콩예취기6+인력파종기4+볍씨발아기3+파이브밴딩성형기1+동력이식기5+고소작업차2+비료살포기4+잔가지파쇄기대형3+사료절단기1+넝쿨파쇄기5+동력제초기4륜3+스키드로더2+볍씨파종기1),033-370-7891,강원특별자치도 영월군 농업기술센터,2024-08-22,4271000,강원특별자치도 영월군
울산광역시농업기술센터,052-229-5431,울산광역시 울주군 청량읍 청량천변로 211,울산광역시 울주군 청량읍 문죽리 252,35.52401516,129.26676527,89,21,51,14,11,0,0,0,굴삭기(20)+동력박피기(5)+동력퇴비살포기(7)+SS기(6)+콩예취기(2)+탈망기(4)+자동전동가위(15)+인력파종기(8)+동력이식기(10)+승용제초기(6)+동력제초기(9)+잔가지파쇄기(10)+동력운반차(5)+승용배토기(5)+분무기(4)+천공기(2)+고소작업차(1)+인공수분기(5)+농산물절단기(2)+파이프밴딩기(2)+동력살분무기(3)+비닐피복기(6)+비닐하우스피복장치(5),052-229-5431,울산광역시농업기술센터,2024-08-21,6310000,울산광역시
무주군농기계임대사업장,063-320-2899,전북특별자치도 무주군 무주읍 한풍루로 416,전북특별자치도 무주군 무주읍 당산리 530,36.00398923,127.6714698,116,21,83,44,33,0,11,4,항타기(25)+발전기(3)+잔가지파쇄기(23)+승용예취기(34)+동력운반차(8)+ss기(52),063-320-2863,전북특별자치도 무주군청,2024-08-21,4741000,전북특별자치도 무주군
고령군농업기술센터,054-956-1234,경상북도 고령군 대가야읍 일량본길 139,경상북도 고령군 대가야읍 내곡리 772,35.695394,128.2818471,466,30,59,92,20,18,15,0,곡물정선기(5)+농산물건조기(2)+농산물선별기(29)+농업용콘베이어(5)+농용양수기(20)+농용파이프밴딩성형기(13)+동력파쇄기(7)+마늘쪽분리기(11)+비닐피복기(8)+승용관리기(9)+볍씨 발아기(50)+농업용굴삭기(7)+농용호스릴(10)+동력살분무기(10)+비료살포기(12)+동력퇴비살포기(7)+콤바인(1)+콩정선기(14)+휴대용자동전동가위(2)+동력예취기(4)+농산물세척기(1)+농산물제피기(1)+농업용동력운반차(2),054-956-1234,경상북도고령군청,2024-08-16,5200000,경상북도 고령군
남원시 농기계임대사업(이백사업소),063-620-8024,전북특별자치도 남원시 이백로 309,전북특별자치도 남원시 이백면 서곡리 429,35.42531028,127.4409093,87,14,28,29,27,10,2,0,육묘상자세척기(1)+콩+팥정선기(2)+양파씨앗파종기(1),063-620-8024,전북특별자치도 남원시 농업기술센터,2024-08-16,4701000,전북특별자치도 남원시
남원시 농기계임대사업(인월사업소),063-620-5558,전북특별자치도 남원시 황산로 1733,전북특별자치도 남원시 인월면 서무리 1055-4,35.461738,127.593555,92,22,32,15,30,2,2,0,콩정선선별기(1),063-620-5558,전북특별자치도 남원시 농업기술센터,2024-08-16,4701000,전북특별자치도 남원시
남원시 농기계임대사업(금지사업소),063-620-5554,전북특별자치도 남원시 물머리로 12,전북특별자치도 남원시 금지면 창산리 72-2,35.34609856,127.303245,92,14,38,10,21,2,2,0,연무기(3)+고설로타리(1)+탈피기곶감용(1),063-620-5554,전북특별자치도 남원시 농업기술센터,2024-08-16,4701000,전북특별자치도 남원시
남원시 농기계임대사업(사매사업소),063-620-5551,전북특별자치도 남원시 덕오로 52,전북특별자치도 남원시 사매면 오신리 818-1,35.49468295,127.3578413,86,18,25,12,16,2,3,0,0,063-620-5551,전북특별자치도 남원시 농업기술센터,2024-08-16,4701000,전북특별자치도 남원시
영광군농기계임대사업소 본소,061-350-4835,전라남도 영광군 군서면 복호로 57-25,전라남도 영광군 군서면 만곡리 95-60,35.28633666,126.4733133,176,29,67,40,55,2,5,10,농업용고소작업차(1)+동력제초방제기(1)+마늘쪽분리기(1)+박피기(1)+스피드스프레이어(1)+예취기(1)+농산물순제거기(2)+농산물절단기(2)+농업용굴착기(2)+농업용로우더(2)+농업용콘베이어(2)+무인자동방제기(2)+분무기(2)+비닐피복기(2)+농산물파쇄기(3)+농용파이프벤딩성형기(3)+동력중경제초기(3)+휴대용자동전동가위(3)+콩예취기(4)+동력살분무기(5)+육묘잎자르기(5)+탈망기(5)+동력분무기(6)+농산물선별기(7)+종자소독기(7)+동력배토기(10)+동력파쇄기(13)+동력제초기(14)+동력이식기(16)+육묘상자운반기구(17)+동력살포기(19)+종자발아기(23),061-350-4834,전라남도 영광군청,2024-08-14,4970000,전라남도 영광군
영광군농기계임대사업소 북부분소,061-350-4685,전라남도 영광군 홍농읍 상단길 195,전라남도 영광군 홍농읍 상하리 1185-5,35.382608,126.4434354,78,18,18,10,14,0,1,4,농산물세척기(1)+농산물절단기(1)+농업용굴착기(1)+농용파이프벤딩성형기(1)+농용호스릴(1)+동력중경제초기(1)+종자선별기(1)+콤바인(1)+퇴비살포기(1)+농산물선별기(2)+농산물순제거기(2)+육묘잎자르기(2)+콩예취기(2)+동력분무기(3)+동력제초기(3)+휴대용자동전동가위(3)+농업용콘베이어(4)+탈망기(4)+동력파쇄기(5)+비닐피복기(5)+종자소독기(5)+동력살포기(6)+동력배토기(7)+육묘상자운반기구(7)+종자발아기(18),061-350-4834,전라남도 영광군청,2024-08-14,4970000,전라남도 영광군
포천시 농기계임대사업소(본소),031-538-3787,경기도 포천시 신북면 틀못이길 11-88,경기도 포천시 신북면 기지리 647-1,37.9232987,127.2252129,50,27,49,15,29,20,15,8,24,031-538-3753,경기도 포천시청,2022-10-31,5600000,경기도 포천시
영북분소,031-538-3766,경기도 포천시 영북면 호국로 4147-21,경기도 포천시 영북면 자일리 845-6,38.10002011,127.2770214,36,1,18,5,4,6,0,0,12,031-538-3753,경기도 포천시청,2022-10-31,5600000,경기도 포천시
농기계임대사업소 용곡분소,062-613-5328,광주광역시 광산구 용곡동 기곡길9,광주광역시 광산구 용곡동 32-6,35.126477,126.74197208,49,11,51,22,24,16,0,0,자주식퇴비살포기(2)+농용굴삭기(2)+동력분무기(5)+농용잔가지파쇄기(7)+동력배토기(3)+동력예취기(1)+동력제초기(5)+휴대용전동가위(8)+과실수확기(2)+승용예취기(5)+인력파종기(8)+덩굴파쇄기(2)+양봉약품분사기(1)+육묘상자세척기(2)+동력운반차(3)+수거형제초기(1)+과수박피기(2)+예초기(20)+양수기(5)+딸기고설재배로터리(1)+육묘상자적재기(4)+목재파쇄기(2)+종자소독발아기(2),062-613-5302,광주광역시농업기술센터,2023-12-11,6290000,광주광역시
농기계임대사업소 용강분소,062-575-5745,광주광역시 북구 용강길 126,광주광역시 북구 용강동 332-1,35.25230124,126.9055414,41,8,25,17,14,6,0,0,휴대용자동전동가위(7)+콩예취기(1)+콩수확기(1)+자주식퇴비살포기(2)+인력파종기(7)+육묘용파종기(5)+육묘상자적재기(4)+육묘상자세척기(1)+예초기(10)+양수기(5)+양봉약품분사기(1)+승용예취기(3)+수거형제초기(1)+못자리성형기(1)+땅콩탈피기(2)+딸기고설재배로터리(1)+동력제초기(1)+동력운반차(1)+동력예취기(1)+동력배토기(2)+덩굴파쇄기(2)+농용잔가지파쇄기(5)+동력분무기(3)+농용굴삭기(2)+논두렁제초기(2)+딸기두둑성형기(1)+종자소독기(1),062-613-5302,광주광역시농업기술센터,2023-12-11,6290000,광주광역시
정선군농업기계임대사업소 임계분소,033-560-2696,강원특별자치도 정선군 임계면 송계4길 24,강원특별자치도 정선군 임계면 송계리 955,37.49630501,128.8536074,49,1,39,8,27,6,2,0,,033-560-2696,정선군농업기술센터,2024-07-10,4291000,강원특별자치도 정선군
정선군농업기계임대사업소 신동분소,033-378-1223,강원특별자치도 정선군 신동읍 의림로 420,강원특별자치도 정선군 신동읍 예미리 319-2,37.22749094,128.6505236,30,1,26,1,36,1,0,0,,033-378-1223,정선군농업기술센터,2024-07-10,4291000,강원특별자치도 정선군
정선군농업기계임대사업소 화암분소,033-560-4081,강원특별자치도 정선군 화암면 그림바위길 17,강원특별자치도 정선군 화암면 화암리 401-1,37.3424544090,128.7897823551,31,0,12,3,16,1,1,0,,033-560-4081,정선군농업기술센터,2024-07-10,4291000,강원특별자치도 정선군
삼척시농업기술센터 근덕본소,033-570-4273,강원특별자치도 삼척시 근덕면 맹방해변로49,강원특별자치도 삼척시 근덕면 교가리 424-85,37.38363101,129.2290927,46,12,46,4,16,10,3,3,스키드로더(1)+충전분무기(5)+전동전지가위(2)+종자발아기(1)+베일집게(3)등,033-570-4261,강원특별자치도 삼척시청,2024-07-22,4241000,강원특별자치도 삼척시
삼척시농업기술센터 남부지소,033-570-4391,강원특별자치도 삼척시 원덕읍 산양서원 1길16-36,강원특별자치도 삼척시 원덕읍 산양리 777-3,37.14072196,129.2855294,50,13,43,6,15,6,3,2,스키드로더(1)+충전분무기(2)+전동전지가위(2)+종자발아기(1)+베일집게(1)등,033-570-4261,강원특별자치도 삼척시청,2024-07-22,4241000,강원특별자치도 삼척시
삼척시농업기술센터 서부지소,033-572-4265,강원특별자치도 삼척시 미로면 강원남부로 3922,강원특별자치도 삼척시 미로면 하거노리 434,37.41162092,129.1071842,43,15,55,11,22,14,3,3,스키드로더(2)+충전분무기(5)+전동전지가위(3)+베일집게(1)등,033-570-4261,강원특별자치도 삼척시청,2024-07-22,4241000,강원특별자치도 삼척시
삼척시농업기술센터 하장지소,033-553-4423,강원특별자치도 삼척시 하장면 백두대간로2681-10,강원특별자치도 삼척시 하장면 장전리 84-24,37.35509838,128.9258181,23,4,38,3,11,6,0,1,스키드로더(1)+전동전지가위(1)+베일집게(2)+스피드스프레이어(2),033-570-4261,강원특별자치도 삼척시청,2024-07-22,4241000,강원특별자치도 삼척시
고성군 농기계임대사업소 본소,055-670-4238,경상남도 고성군 고성읍 남해안대로 2829-60,,34.99601513,128.3257666,190,35,107,38,23,6,15,3,,055-670-4232,경상남도 고성군농업기술센터,2024-07-14,5420000,경상남도 고성군
고성군 농기계임대사업소 북부권역,055-670-4294,경상남도 고성군 영오면 옥천로 1447,,35.106261,128.2417474,57,5,35,8,6,2,6,0,,055-670-4232,경상남도 고성군농업기술센터,2024-07-14,5420000,경상남도 고성군
고성군 농기계임대사업소 서부권역,055-670-4284,경상남도 고성군 하일면 자란만로 1700,,34.93854296,128.1980112,47,5,43,4,5,0,5,0,,055-670-4232,경상남도 고성군농업기술센터,2024-07-14,5420000,경상남도 고성군
